key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key: inventor
# base entity
invention-00,TICKER-00,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
# ticker - standard variations
invention-01,TICKE,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-02,TICKER,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-03,TICKER-1234567,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-04,TICKER-12345678,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
# ticker - no singular values
# name - standard variations
invention-05,TICKER-05,L,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-06,TICKER-06,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-07,TICKER-07,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-08,TICKER-08,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-09,TICKER-09,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-09,TICKER-09,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-10,TICKER-10,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-11,TICKER-11,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-12,TICKER-12,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-13,TICKER-13,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
# name - no singular values
invention-14,TICKER-14,"","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-15,TICKER-15,"","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-16,TICKER-16,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
# description - standard variations
invention-17,TICKER-17,invention,L,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-18,TICKER-18,invention,Lo,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-19,TICKER-19,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-20,TICKER-20,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-21,TICKER-21,invention,โลเร็ม อิปซัม,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-22,TICKER-22,invention,لوريم إيبسوم,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-23,TICKER-23,invention,洛伦·伊普森,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-24,TICKER-24,invention,<marquee>Hacked</marquee>,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-25,TICKER-25,invention,<script>alert(‘Hacked!’);</script>,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-26,TICKER-26,invention,' or 'A' = 'A,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
# description - no singular values
invention-27,TICKER-27,invention,"",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-28,TICKER-28,invention,"",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-29,TICKER-29,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
# startMoment - standard variations
invention-30,TICKER-30,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",01/01/2000 0:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-31,TICKER-31,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",01/01/2000 0:01,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-32,TICKER-32,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",31/12/2024 23:59,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-33,TICKER-33,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",01/01/2025 0:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
# startMoment - no singular values
invention-35,TICKER-35,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-36,TICKER-36,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",31/12/1999 23:59,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-37,TICKER-37,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",01/01/2025 0:01,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
# endMoment - standard variations
invention-38,TICKER-38,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,01/01/2000 0:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-39,TICKER-39,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,01/01/2000 0:01,http://lorem.com/ipsum,TRUE,inventor-01
invention-40,TICKER-40,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,31/12/2024 23:59,http://lorem.com/ipsum,TRUE,inventor-01
invention-41,TICKER-41,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,01/01/2025 0:00,http://lorem.com/ipsum,TRUE,inventor-01
# endMoment - no singular values
invention-43,TICKER-43,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,,http://lorem.com/ipsum,TRUE,inventor-01
invention-44,TICKER-44,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,31/12/1999 23:59,http://lorem.com/ipsum,TRUE,inventor-01
invention-45,TICKER-45,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,01/01/2025 0:01,http://lorem.com/ipsum,TRUE,inventor-01
# moreInfo - standard variations
invention-46,TICKER-46,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://a.b,TRUE,inventor-01
invention-47,TICKER-47,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/,TRUE,inventor-01
invention-48,TICKER-48,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X,TRUE,inventor-01
invention-49,TICKER-49,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://www.lorem-ipsum.org,TRUE,inventor-01
invention-50,TICKER-50,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,https://www.lorem-ipsum.org,TRUE,inventor-01
invention-51,TICKER-51,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://www.lorem-ipsum.org/dolor/sit.html,TRUE,inventor-01
invention-52,TICKER-52,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://www.lorem-ipsum.org/dolor/sit.html#dolor,TRUE,inventor-01
invention-53,TICKER-53,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://example.org?a=1&b=2,TRUE,inventor-01
invention-54,TICKER-54,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://example.org?,TRUE,inventor-01
invention-55,TICKER-55,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://example.org?a,TRUE,inventor-01
invention-56,TICKER-56,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://example.org?a&b,TRUE,inventor-01
invention-57,TICKER-57,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://example.org/,TRUE,inventor-01
invention-58,TICKER-58,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://example.org/a,TRUE,inventor-01
invention-59,TICKER-59,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://example.org/a/b,TRUE,inventor-01
invention-60,TICKER-60,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://example.org/a/b?,TRUE,inventor-01
invention-61,TICKER-61,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://example.org/a/b?a&b,TRUE,inventor-01
# moreInfo - no singular values
invention-62,TICKER-62,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://,TRUE,inventor-01
invention-63,TICKER-63,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,ftp://,TRUE,inventor-01
invention-64,TICKER-64,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://a,TRUE,inventor-01
invention-65,TICKER-65,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,ftp://a,TRUE,inventor-01
invention-65,TICKER-65,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/x",TRUE,inventor-01
# draftMode - standard variations
invention-66,TICKER-66,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,FALSE,inventor-01
